epoch,alpha_t,beta_t,gamma_t,tau_t,F_t,L_t,U_n,TV_t,V_t,T_t,C_t
0,0.1,0.2,0.05,0.6,0.01,1.2,1.0,0.2,100.0,10.0,1000.0
1,0.1638279474389737,0.06640464785837263,0.041052576424032636,0.6328092957167453,0.010189180018873313,1.2656185914334905,1.0128956156633486,0.15755615579888993,107.77623976390616,10.452093342055521,1012.0
2,0.176362372698391,0.0790988816484573,0.02561867001377809,0.6581977632969146,0.010423370765650586,1.3163955265938292,1.0267938386471334,0.09575458291197508,116.83729099203626,10.935234202150781,1025.0503630513088
3,0.1055179803901685,0.09819006112098683,0.006437423024320977,0.6963801222419737,0.010628993245416331,1.3927602444839473,1.0419941241991861,0.021521050790634263,121.61219296664906,11.010859534587112,1039.1153647108988
4,0.21596913098785966,0.12053482988693454,0.0,0.7410696597738691,0.010986663078135735,1.4821393195477381,1.0589617120019796,0.0,129.79614481560665,11.203409346396363,1054.4980536895762
5,0.2415042645543481,0.13616581372080666,0.0,0.7723316274416133,0.011401596468605963,1.5446632548832266,1.0776117507997092,0.0,144.91512087768223,11.860070395531718,1071.669252546003
6,0.1919137208143739,0.14817598381197156,0.0002613909225446893,0.7963519676239431,0.01178905499875172,1.5927039352478862,1.0978455001325182,0.0006364464625891102,153.7138434978446,11.956144552335639,1090.5430918093052
7,0.18675066939195537,0.1620484661826077,0.0,0.8240969323652154,0.012200256218032278,1.6481938647304308,1.119921402805799,0.0,162.64654589015964,11.999251459282732,1111.019646134108
8,0.2665918976883586,0.1704336835494386,0.0,0.8408673670988772,0.012733438624525839,1.6817347341977544,1.1439036976476913,0.0,173.06427308016916,11.99205650523498,1133.3604596394682
9,0.1177788921862148,0.16040660652083277,0.0030835289323155627,0.8208132130416655,0.01308373802928711,1.641626426083331,1.1684731591623627,0.006511697009456168,178.50154971227687,11.785287315875124,1157.630542019463
10,0.16658151855072204,0.1771459882432988,0.0,0.8542919764865976,0.013533462094522407,1.7085839529731952,1.1954918296464825,0.0,187.5802721703573,11.721386796624811,1182.4948370723105
