t,V_t,T_t,C_t,F_t,alpha_t,beta_t,gamma_t,tau_t,L_t,coherence,time_violence,TV_trend,is_stable
0,100.0,10.0,1000.0,0.01,0.1,0.2,0.05,0.6,1.2,0.3921568627450981,0.2,0.0,False
1,154.96714153011231,14.827044039108387,1012.0,0.010327721836416302,0.32745762671803824,0.06149450826234282,0.06123029856408026,0.6229890165246856,1.2459780330493713,0.32358587691884694,0.3422748251736836,0.0,False
2,202.62560778287894,18.52474768128103,1025.0225319140945,0.010671085929774775,0.3139455519029373,0.08230444269622605,0.06378161599920132,0.6646088853924521,1.3292177707849042,0.398864913876939,0.3962774618403635,0.0,False
3,247.93086392352942,21.668589557680676,1039.561653488919,0.01100651168944429,0.2853893945036019,0.08268818268300182,0.05374615686357862,0.6653763653660036,1.3307527307320073,0.43104999036388153,0.3897038270922427,0.0,False
4,300.35048663918974,24.847885310715807,1054.788056357491,0.011459711981607612,0.38504191740671456,0.07046326584768275,0.043748665884811036,0.6409265316953655,1.281853063390731,0.6063043546051273,0.3903350624223964,0.0,False
5,340.2221754358455,26.888857038665456,1070.2825415651841,0.01182202392184681,0.2760106095449036,0.06640162417879986,0.02625076228297702,0.6328032483575997,1.2656064967151994,0.6725519298889849,0.2591869266010451,0.0,False
6,404.87866312506105,30.286979617817266,1086.2961413600365,0.012306107034895666,0.3477532600480856,0.07210061112757327,0.010378204192544753,0.6442012222551465,1.288402444510293,2.203618615624898,0.11183625827383957,0.0,False
7,449.4348358798092,31.985296618720003,1103.5196039133482,0.012733162935890304,0.29551200639086844,0.06561297546621397,0.014097363956746996,0.631225950932428,1.262451901864856,1.2842918857123136,0.16628330451466417,0.0,False
8,493.42844898062117,33.42829404090886,1121.258687908233,0.013164493386650572,0.30633699311575774,0.06461914108160921,0.032210409406161676,0.6292382821632184,1.2584765643264368,0.596055084252903,0.3992136149485698,0.0,False
9,543.2934767332418,34.79167570134449,1139.8348120279422,0.013699894641141082,0.34661132757124924,0.07787059832226195,0.017780931965835287,0.6557411966445239,1.3114823932890478,1.4371401542983164,0.2129682791168483,0.0,False
10,595.3821126832894,35.88578518790417,1160.3144185648848,0.014298735766460485,0.38646518757337023,0.06961993559776564,0.018971451127942993,0.6392398711955313,1.2784797423910625,1.3472071356893767,0.24560745096675576,-0.017728046361792246,False
11,652.7667784832435,37.21650943980805,1181.5257134010403,0.014844966711629291,0.32358583768628474,0.07349088633173645,0.01506326905925581,0.6469817726634729,1.2939635453269458,1.4804340217572247,0.19790282847046267,-0.019432443263344583,False
12,687.9815585795692,37.20820314505153,1204.221458587029,0.015354360661726305,0.29435945562814975,0.07391124321822551,0.025128164415519388,0.647822486436451,1.295644972872902,0.8326828081958144,0.32927676441395515,-0.00862084973925235,False
13,741.4177414752538,37.64842262444969,1228.1779996843766,0.016034479821371055,0.3805270560875134,0.08218600639265566,0.019764525169804283,0.6643720127853113,1.3287440255706227,1.506126377003091,0.2497418581429136,-0.001773636480710939,False
14,784.6485214721943,37.70342165883255,1254.3452153540586,0.016591181644471893,0.27776725409355313,0.09752406764937466,0.028100873843985845,0.6950481352987493,1.3900962705974986,0.9308652593811743,0.3230962248285569,0.01081331512147373,False
15,826.2563462399679,37.4227866470002,1283.2746051929466,0.01720517460989371,0.3002495759228602,0.10586853407052393,0.03604623773081085,0.7117370681410479,1.4234741362820957,0.8580353743131355,0.3888524733455561,0.019058778346723912,False
16,871.464603861515,37.09999150368949,1314.7034389114483,0.01786685624155172,0.30622338478491834,0.09983908444302436,0.021479547716923057,0.6996781688860487,1.3993563377720974,1.3600390344577165,0.23932377567067478,0.007753049304324293,False
17,929.589862085457,37.2336025262447,1347.573783812643,0.0185269430693415,0.295661229071631,0.10415335553346833,0.030366921924150997,0.7083067110669367,1.4166134221338733,0.9817383160331663,0.3298088220821997,0.0034673680895557562,False
18,983.2062223359333,36.86476363233619,1382.9415534175746,0.019285430531871116,0.3403005030047865,0.1128070769296387,0.04371059539639559,0.7256141538592774,1.4512283077185548,0.8585952542414683,0.4421400753499858,0.018855406020532428,False
19,1032.8479619448337,36.52228821043694,1421.6467168741863,0.019892379278991026,0.27163276769829664,0.09164458888420002,0.048558560900508266,0.6832891777684,1.3665783555368,0.502308236374404,0.5616770647182467,0.027826966917342946,False
20,1083.7184326272154,35.884949854636105,1460.293464887931,0.02068064000957866,0.32348861294381887,0.09760107172178872,0.02482701566444851,0.6952021434435774,1.390404286887155,1.2224732320340195,0.2715493518374302,0.01892255147002519,False
